                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.63756,                0.45127,                 1.0511,                0.94822,                0.94481,                0.98079,                0.83514,                0.57715,                0.33689,                 0.9318,              0.0007922,              0.0007922,              0.0007922
                     63,                0.63479,                0.45061,                 1.0478,                0.94895,                0.94308,                0.98055,                0.83625,                0.57976,                0.33729,                 0.9345,              0.0007724,              0.0007724,              0.0007724
                     64,                0.63077,                0.44644,                  1.044,                0.94708,                0.95062,                0.98187,                0.83549,                0.57716,                0.33298,                0.92673,              0.0007526,              0.0007526,              0.0007526
                     65,                0.62721,                0.44217,                 1.0454,                  0.945,                0.95122,                 0.9812,                0.83475,                0.57532,                0.33186,                0.93144,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.6275,                0.44463,                 1.0444,                0.94106,                0.95069,                0.98095,                0.83776,                0.57155,                0.33208,                0.93058,               0.000713,               0.000713,               0.000713
                     67,                0.62295,                0.44141,                   1.04,                0.94762,                0.94792,                0.98165,                0.83931,                0.57424,                0.33138,                0.93575,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.6172,                 0.4364,                 1.0379,                0.94601,                0.95184,                0.98088,                0.84034,                0.57567,                0.32712,                0.93689,              0.0006734,              0.0006734,              0.0006734
                     69,                0.62272,                0.43821,                 1.0379,                0.94424,                0.95675,                0.98161,                0.83941,                0.57565,                0.32385,                0.93143,              0.0006536,              0.0006536,              0.0006536
                     70,                0.61455,                0.43193,                 1.0369,                0.94044,                0.95536,                0.98146,                0.83899,                0.57307,                0.32547,                0.93349,              0.0006338,              0.0006338,              0.0006338
                     71,                0.61599,                0.43246,                 1.0381,                0.94576,                0.95225,                0.98177,                0.83541,                0.57593,                0.32316,                0.93182,               0.000614,               0.000614,               0.000614
                     72,                0.60922,                0.42865,                 1.0332,                 0.9462,                0.95231,                 0.9828,                0.84124,                0.56884,                0.32255,                0.92715,              0.0005942,              0.0005942,              0.0005942
                     73,                0.60804,                0.42797,                 1.0341,                0.94098,                 0.9519,                0.98189,                0.84081,                0.56846,                0.32764,                0.92988,              0.0005744,              0.0005744,              0.0005744
