                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.63593,                0.42069,                 1.0501,                0.94987,                0.95085,                0.98202,                0.83626,                0.59738,                0.31916,                0.94132,               0.001981,               0.001981,               0.001981
                     83,                0.63019,                0.41573,                 1.0467,                0.94746,                0.95313,                0.98236,                0.83491,                 0.5982,                0.31874,                 0.9408,               0.001882,               0.001882,               0.001882
                     84,                0.62913,                0.41492,                 1.0456,                0.95321,                0.94665,                0.98181,                 0.8354,                0.59736,                0.31939,                0.93892,               0.001783,               0.001783,               0.001783
                     85,                0.62243,                 0.4119,                  1.042,                0.94722,                0.95194,                0.98173,                0.83576,                0.59594,                0.32041,                0.93739,               0.001684,               0.001684,               0.001684
                     86,                0.62663,                0.41422,                 1.0444,                0.95029,                0.95027,                0.98161,                0.83583,                0.59638,                0.32019,                0.93916,               0.001585,               0.001585,               0.001585
                     87,                0.62819,                0.41028,                  1.047,                 0.9469,                0.95405,                0.98173,                0.83654,                 0.5962,                0.32015,                0.93965,               0.001486,               0.001486,               0.001486
                     88,                0.62039,                0.40953,                 1.0392,                0.94663,                0.95426,                0.98076,                0.83614,                0.59602,                0.31833,                0.93906,               0.001387,               0.001387,               0.001387
                     89,                0.61826,                0.40685,                 1.0383,                0.95157,                0.95057,                0.98147,                0.83659,                0.59533,                0.31794,                0.93734,               0.001288,               0.001288,               0.001288
                     90,                0.62046,                0.40784,                 1.0431,                0.95112,                0.95057,                0.98115,                 0.8364,                0.59635,                0.31686,                0.94232,               0.001189,               0.001189,               0.001189
                     91,                0.59147,                0.35327,                 1.0144,                0.94953,                0.95256,                0.98077,                0.83241,                0.60135,                0.31832,                0.94042,                0.00109,                0.00109,                0.00109
                     92,                0.57715,                0.34379,                 1.0129,                0.94996,                0.95265,                0.98091,                0.83262,                 0.6019,                0.31618,                0.94077,               0.000991,               0.000991,               0.000991
                     93,                0.57058,                0.33744,                 1.0091,                0.95117,                0.95163,                0.98119,                0.83294,                0.60409,                0.31641,                 0.9406,               0.000892,               0.000892,               0.000892
                     94,                0.56568,                0.33516,                  1.006,                0.95113,                0.95027,                0.98106,                0.83378,                0.60449,                0.31632,                  0.943,               0.000793,               0.000793,               0.000793
                     95,                0.56319,                0.33248,                 1.0052,                0.95199,                 0.9472,                0.98144,                0.83518,                0.60176,                0.31831,                0.94511,               0.000694,               0.000694,               0.000694
                     96,                0.55989,                0.32849,                 1.0045,                0.95101,                0.94775,                0.98135,                0.83562,                0.60315,                0.31855,                0.94758,               0.000595,               0.000595,               0.000595
                     97,                0.55336,                0.32405,                0.99552,                 0.9509,                0.94855,                0.98168,                0.83568,                0.60436,                0.31858,                0.94752,               0.000496,               0.000496,               0.000496
                     98,                0.55316,                0.32391,                 1.0005,                0.94842,                0.95032,                0.98173,                0.83643,                0.60403,                0.31812,                0.94725,               0.000397,               0.000397,               0.000397
                     99,                0.55476,                0.32512,                 1.0033,                0.94847,                0.95144,                0.98212,                0.83601,                 0.6033,                0.31726,                0.94722,               0.000298,               0.000298,               0.000298
                    100,                0.54955,                0.32072,                0.99863,                0.95169,                0.94701,                0.98171,                0.83625,                0.60332,                0.31735,                0.94645,               0.000199,               0.000199,               0.000199
